         640774 function calls (638121 primitive calls) in 0.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      558    0.001    0.000    0.003    0.000 inspect.py:804(getargspec)
       79    0.000    0.000    0.003    0.000 sre_compile.py:433(_compile_info)
        1    0.000    0.000    0.003    0.003 text.py:3(<module>)
     4313    0.002    0.000    0.003    0.000 sre_parse.py:193(__next)
        1    0.000    0.000    0.003    0.003 decimal.py:116(<module>)
      219    0.000    0.000    0.003    0.000 cbook.py:1134(dedent)
    10778    0.002    0.000    0.003    0.000 mathtext.py:2596(<genexpr>)
        1    0.000    0.000    0.002    0.002 random.py:40(<module>)
      245    0.000    0.000    0.002    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.002    0.002 _axes.py:81(Axes)
     1732    0.000    0.000    0.002    0.000 {method 'any' of 'numpy.ndarray' objects}
      174    0.000    0.000    0.002    0.000 docstring.py:94(dedent)
        1    0.001    0.001    0.002    0.002 __init__.py:41(<module>)
       94    0.000    0.000    0.002    0.000 docstring.py:113(dedent_interpd)
        1    0.001    0.001    0.002    0.002 cm.py:6(<module>)
  912/341    0.002    0.000    0.002    0.000 sre_parse.py:151(getwidth)
      467    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      245    0.001    0.000    0.002    0.000 sre_compile.py:256(_optimize_charset)
        1    0.001    0.001    0.002    0.002 Image.py:27(<module>)
     1732    0.000    0.000    0.002    0.000 _methods.py:37(_any)
        1    0.000    0.000    0.002    0.002 lines.py:4(<module>)
        1    0.001    0.001    0.002    0.002 rrule.py:7(<module>)
        2    0.001    0.000    0.002    0.001 __init__.py:3(<module>)
8769/8767    0.001    0.000    0.002    0.000 {isinstance}
     2638    0.001    0.000    0.002    0.000 sre_parse.py:141(__getitem__)
       14    0.000    0.000    0.002    0.000 rcsetup.py:737(validate_cycler)
        1    0.001    0.001    0.002    0.002 index_tricks.py:1(<module>)
       12    0.000    0.000    0.002    0.000 {eval}
       94    0.000    0.000    0.002    0.000 rcsetup.py:74(f)
     1745    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.002    0.002    0.002    0.002 hashlib.py:56(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.002    0.002 pyplot.py:2173(_setup_pyplot_info_docstrings)
      234    0.000    0.000    0.001    0.000 rcsetup.py:316(validate_color)
      558    0.001    0.000    0.001    0.000 inspect.py:744(getargs)
        1    0.001    0.001    0.001    0.001 __init__.py:15(<module>)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
       38    0.000    0.000    0.001    0.000 pyparsing.py:2814(parseImpl)
       12    0.000    0.000    0.001    0.000 rcsetup.py:660(cycler)
        1    0.001    0.001    0.001    0.001 socket.py:45(<module>)
     1732    0.001    0.000    0.001    0.000 numeric.py:484(asanyarray)
        2    0.000    0.000    0.001    0.001 _version.py:7(<module>)
        7    0.000    0.000    0.001    0.000 pyparsing.py:1695(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:88(<module>)
    100/6    0.000    0.000    0.001    0.000 pyparsing.py:1037(_parseCache)
        1    0.000    0.000    0.001    0.001 __init__.py:99(<module>)
16657/16309    0.001    0.000    0.001    0.000 {len}
      322    0.000    0.000    0.001    0.000 colors.py:214(is_color_like)
    12312    0.001    0.000    0.001    0.000 {method 'startswith' of 'unicode' objects}
        1    0.000    0.000    0.001    0.001 numeric.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _base.py:1(<module>)
      396    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.001    0.001 case.py:1(<module>)
     6322    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 cycler.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3442(_makeTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3471(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 urlparse.py:29(<module>)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:71(__init__)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
       44    0.000    0.000    0.001    0.000 __init__.py:992(_open_file_or_url)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
      804    0.001    0.000    0.001    0.000 {range}
       39    0.000    0.000    0.001    0.000 __init__.py:1610(param)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
       30    0.001    0.000    0.001    0.000 {dir}
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
      322    0.001    0.000    0.001    0.000 colors.py:265(to_rgb)
     1807    0.001    0.000    0.001    0.000 {numpy.core.multiarray.array}
       22    0.000    0.000    0.001    0.000 contextlib.py:15(__enter__)
      273    0.000    0.000    0.001    0.000 function_base.py:3933(add_newdoc)
        1    0.000    0.000    0.001    0.001 ssl.py:88(<module>)
        1    0.000    0.000    0.001    0.001 legend.py:23(<module>)
        2    0.001    0.000    0.001    0.000 six.py:1(<module>)
      144    0.000    0.000    0.001    0.000 cm.py:65(_generate_cmap)
        4    0.000    0.000    0.001    0.000 __init__.py:594(_get_config_or_cache_dir)
        1    0.000    0.000    0.001    0.001 mlab.py:163(<module>)
        2    0.000    0.000    0.001    0.000 random.py:91(__init__)
        2    0.000    0.000    0.001    0.000 random.py:100(seed)
     5002    0.001    0.000    0.001    0.000 {getattr}
        1    0.000    0.000    0.001    0.001 subprocess.py:14(<module>)
       36    0.000    0.000    0.001    0.000 pyparsing.py:2729(parseImpl)
       18    0.000    0.000    0.001    0.000 abc.py:86(__new__)
    10954    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 cbook.py:7(<module>)
     2321    0.000    0.000    0.001    0.000 sre_parse.py:206(match)
        2    0.001    0.000    0.001    0.000 {function seed at 0x7f9e584486e0}
    26/14    0.000    0.000    0.001    0.000 pyparsing.py:2478(parseImpl)
        4    0.000    0.000    0.001    0.000 __init__.py:212(_is_writable_dir)
        2    0.000    0.000    0.001    0.000 pyparsing.py:3359(srange)
        6    0.000    0.000    0.001    0.000 patches.py:1758(_pprint_styles)
       79    0.000    0.000    0.001    0.000 docstring.py:128(<lambda>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
       54    0.000    0.000    0.001    0.000 pyplot.py:2480(<lambda>)
        1    0.000    0.000    0.001    0.001 afm.py:34(<module>)
        1    0.000    0.000    0.001    0.001 table.py:21(<module>)
       65    0.000    0.000    0.001    0.000 pyparsing.py:830(copy)
        1    0.000    0.000    0.001    0.001 subprocess.py:387(<module>)
       91    0.000    0.000    0.001    0.000 copy.py:66(copy)
        4    0.000    0.000    0.001    0.000 tempfile.py:490(TemporaryFile)
        2    0.000    0.000    0.001    0.000 __init__.py:629(_get_configdir)
        1    0.000    0.000    0.001    0.001 dates.py:455(DateFormatter)
      304    0.000    0.000    0.001    0.000 re.py:148(sub)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:750(matplotlib_fname)
        4    0.000    0.000    0.001    0.000 tempfile.py:235(_mkstemp_inner)
       10    0.000    0.000    0.001    0.000 colors.py:750(from_list)
