         640774 function calls (638121 primitive calls) in 0.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.000    0.000 py3k.py:71(sixu)
      461    0.000    0.000    0.000    0.000 {setattr}
      121    0.000    0.000    0.000    0.000 six.py:575(iteritems)
       31    0.000    0.000    0.000    0.000 {posix.stat}
     1682    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       78    0.000    0.000    0.000    0.000 UserDict.py:91(get)
      283    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        4    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        6    0.000    0.000    0.000    0.000 function_base.py:9(linspace)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        4    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:231(__init__)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
      229    0.000    0.000    0.000    0.000 six.py:180(find_module)
      200    0.000    0.000    0.000    0.000 pyparsing.py:1528(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:848(RcParams)
        9    0.000    0.000    0.000    0.000 extras.py:235(getdoc)
      200    0.000    0.000    0.000    0.000 rcsetup.py:145(validate_float)
      106    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:146(compare_versions)
       77    0.000    0.000    0.000    0.000 __init__.py:888(__getitem__)
       35    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:610(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 patches.py:1072(Arrow)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
     1244    0.000    0.000    0.000    0.000 {ord}
        3    0.000    0.000    0.000    0.000 pyparsing.py:3031(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
       27    0.000    0.000    0.000    0.000 core.py:863(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
      106    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
       76    0.000    0.000    0.000    0.000 rcsetup.py:64(__call__)
       15    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
        1    0.000    0.000    0.000    0.000 six.py:662(exec_)
       32    0.000    0.000    0.000    0.000 posixpath.py:251(expanduser)
       81    0.000    0.000    0.000    0.000 cbook.py:687(iterable)
       21    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
       44    0.000    0.000    0.000    0.000 rcsetup.py:375(validate_fontsize)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:1314(Stack)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1807(Regex)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
       13    0.000    0.000    0.000    0.000 cycler.py:65(__init__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7778(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1859(__str__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
      220    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 transforms.py:2171(BlendedAffine2D)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
       14    0.000    0.000    0.000    0.000 genericpath.py:46(isdir)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
       67    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
       21    0.000    0.000    0.000    0.000 numeric.py:414(asarray)
        1    0.000    0.000    0.000    0.000 text.py:1917(Annotation)
        1    0.000    0.000    0.000    0.000 scale.py:619(get_scale_docs)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3120(delimitedList)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       54    0.000    0.000    0.000    0.000 six.py:569(iterkeys)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
      271    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        8    0.000    0.000    0.000    0.000 core.py:7783(getdoc)
      437    0.000    0.000    0.000    0.000 {max}
       67    0.000    0.000    0.000    0.000 {method 'format' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 urllib.py:120(URLopener)
        1    0.000    0.000    0.000    0.000 blocking_input.py:23(<module>)
        9    0.000    0.000    0.000    0.000 {sorted}
       18    0.000    0.000    0.000    0.000 re.py:284(_subx)
        1    0.000    0.000    0.000    0.000 six.py:689(exec_)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3378(<genexpr>)
        6    0.000    0.000    0.000    0.000 version.py:263(__init__)
       23    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
        1    0.000    0.000    0.000    0.000 parser.py:340(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:247(__init__)
        1    0.000    0.000    0.000    0.000 decimal.py:3764(Context)
        6    0.000    0.000    0.000    0.000 version.py:268(parse)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3376(<lambda>)
       81    0.000    0.000    0.000    0.000 six.py:139(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:789(ParserElement)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       13    0.000    0.000    0.000    0.000 pyparsing.py:885(setParseAction)
        2    0.000    0.000    0.000    0.000 __init__.py:580(_get_xdg_cache_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:566(_get_xdg_config_dir)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2809(__init__)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:332(XTick)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
       67    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
       78    0.000    0.000    0.000    0.000 pyparsing.py:1592(parseImpl)
      149    0.000    0.000    0.000    0.000 inspect.py:51(ismodule)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
       54    0.000    0.000    0.000    0.000 pyplot.py:2475(_autogen_docstring)
       13    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 pyplot.py:1932(colormaps)
       84    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
        5    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
       19    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       60    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 {posix.listdir}
        1    0.000    0.000    0.000    0.000 bdb.py:14(Bdb)
       66    0.000    0.000    0.000    0.000 pyparsing.py:318(__getitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 lines.py:191(Line2D)
       21    0.000    0.000    0.000    0.000 core.py:37(is_style_file)
      250    0.000    0.000    0.000    0.000 __init__.py:857(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       96    0.000    0.000    0.000    0.000 pyparsing.py:366(__bool__)
        1    0.000    0.000    0.000    0.000 polar.py:220(PolarAxes)
       18    0.000    0.000    0.000    0.000 core.py:941(__init__)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
      261    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
      329    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      191    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 units.py:44(<module>)
       77    0.000    0.000    0.000    0.000 {repr}
       79    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
        1    0.000    0.000    0.000    0.000 patches.py:2388(FancyBboxPatch)
      112    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 collections.py:36(Collection)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
        7    0.000    0.000    0.000    0.000 parser.py:262(_convert)
       79    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       13    0.000    0.000    0.000    0.000 _methods.py:40(_all)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       65    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
      200    0.000    0.000    0.000    0.000 colors.py:363(<genexpr>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      165    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       20    0.000    0.000    0.000    0.000 pyparsing.py:1749(parseImpl)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       18    0.000    0.000    0.000    0.000 pyparsing.py:486(__iadd__)
       47    0.000    0.000    0.000    0.000 docstring.py:48(update)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
       38    0.000    0.000    0.000    0.000 pyparsing.py:1058(resetCache)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       89    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 formsubplottool.py:7(<module>)
      198    0.000    0.000    0.000    0.000 {_sre.getlower}
       92    0.000    0.000    0.000    0.000 pyparsing.py:171(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:3934(FancyArrowPatch)
       67    0.000    0.000    0.000    0.000 core.py:6028(isMaskedArray)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        9    0.000    0.000    0.000    0.000 textwrap.py:374(dedent)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:588(__call__)
       18    0.000    0.000    0.000    0.000 fontconfig_pattern.py:150(_families)
        9    0.000    0.000    0.000    0.000 pyparsing.py:1784(__str__)
        3    0.000    0.000    0.000    0.000 decimal.py:3783(__init__)
      282    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 path.py:31(Path)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1360(AnnotationBbox)
       22    0.000    0.000    0.000    0.000 codecs.py:302(__init__)
       10    0.000    0.000    0.000    0.000 rcsetup.py:271(__call__)
       25    0.000    0.000    0.000    0.000 artist.py:35(allow_rasterization)
      539    0.000    0.000    0.000    0.000 {globals}
        6    0.000    0.000    0.000    0.000 fontconfig_pattern.py:158(_property)
       18    0.000    0.000    0.000    0.000 re.py:264(_compile_repl)
        3    0.000    0.000    0.000    0.000 utils.py:117(deprecate)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1635(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 patches.py:4270(ConnectionPatch)
        3    0.000    0.000    0.000    0.000 utils.py:73(__call__)
       22    0.000    0.000    0.000    0.000 contextlib.py:82(helper)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      261    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:3353(<lambda>)
      523    0.000    0.000    0.000    0.000 {abs}
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8(<module>)
      106    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       12    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       23    0.000    0.000    0.000    0.000 __init__.py:297(report)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
       24    0.000    0.000    0.000    0.000 random.py:273(choice)
        4    0.000    0.000    0.000    0.000 tempfile.py:48(_set_cloexec)
      136    0.000    0.000    0.000    0.000 rcsetup.py:57(func)
        1    0.000    0.000    0.000    0.000 geo.py:23(GeoAxes)
       22    0.000    0.000    0.000    0.000 __init__.py:981(is_url)
       39    0.000    0.000    0.000    0.000 __init__.py:1572(unpack_labeled_data)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2725(__init__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:2243(<genexpr>)
       51    0.000    0.000    0.000    0.000 rcsetup.py:180(validate_int)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:338(prep_simple)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
        1    0.000    0.000    0.000    0.000 defmatrix.py:208(matrix)
        1    0.000    0.000    0.000    0.000 parser.py:1011(_tzparser)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        4    0.000    0.000    0.000    0.000 numeric.py:2576(seterr)
        3    0.000    0.000    0.000    0.000 __init__.py:716(_get_data_path_cached)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
      153    0.000    0.000    0.000    0.000 {method 'find' of 'unicode' objects}
        4    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
       80    0.000    0.000    0.000    0.000 docstring.py:102(do_copy)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        3    0.000    0.000    0.000    0.000 rcsetup.py:409(validate_whiskers)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        4    0.000    0.000    0.000    0.000 {posix.unlink}
        1    0.000    0.000    0.000    0.000 collections.py:844(PolyCollection)
        1    0.000    0.000    0.000    0.000 __init__.py:1567(getLogger)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
       97    0.000    0.000    0.000    0.000 pyparsing.py:3376(<genexpr>)
      220    0.000    0.000    0.000    0.000 pyparsing.py:953(postParse)
      125    0.000    0.000    0.000    0.000 six.py:86(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:255(AitoffAxes)
      130    0.000    0.000    0.000    0.000 {method 'ljust' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        8    0.000    0.000    0.000    0.000 colors.py:795(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:818(PathCollection)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1543(setName)
        1    0.000    0.000    0.000    0.000 __init__.py:1025(getLogger)
        3    0.000    0.000    0.000    0.000 rcsetup.py:239(validate_toolbar)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1401(__call__)
       93    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2095(__init__)
        8    0.000    0.000    0.000    0.000 {fcntl.fcntl}
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3215(_escapeRegexRangeChars)
       44    0.000    0.000    0.000    0.000 six.py:103(__init__)
      117    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 spines.py:22(Spine)
        1    0.000    0.000    0.000    0.000 collections.py:958(RegularPolyCollection)
       21    0.000    0.000    0.000    0.000 posixpath.py:112(basename)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
       51    0.000    0.000    0.000    0.000 six.py:173(_add_module)
      267    0.000    0.000    0.000    0.000 {id}
       24    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 transforms.py:2009(IdentityTransform)
        1    0.000    0.000    0.000    0.000 __init__.py:673(_get_data_path)
        2    0.000    0.000    0.000    0.000 numeric.py:2967(__enter__)
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
       17    0.000    0.000    0.000    0.000 pyparsing.py:840(setName)
        4    0.000    0.000    0.000    0.000 six.py:91(__get__)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
      138    0.000    0.000    0.000    0.000 {method 'replace' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 collections.py:1484(EllipseCollection)
       13    0.000    0.000    0.000    0.000 pyparsing.py:771(_trim_arity)
        6    0.000    0.000    0.000    0.000 rcsetup.py:200(validate_fonttype)
        1    0.000    0.000    0.000    0.000 geo.py:334(HammerAxes)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:51(_python_build)
        3    0.000    0.000    0.000    0.000 re.py:290(filter)
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
       78    0.000    0.000    0.000    0.000 pyparsing.py:401(haskeys)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 ssl.py:305(__new__)
        5    0.000    0.000    0.000    0.000 scale.py:586(get_scale_names)
       44    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:129(<dictcomp>)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_name)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      187    0.000    0.000    0.000    0.000 pyparsing.py:1698(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:59(Patch)
      121    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 tritools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 text.py:177(Text)
        1    0.000    0.000    0.000    0.000 _subplots.py:160(subplot_class_factory)
        1    0.000    0.000    0.000    0.000 cbook.py:1009(mkdirs)
      128    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
      217    0.000    0.000    0.000    0.000 {method 'start' of '_sre.SRE_Match' objects}
        4    0.000    0.000    0.000    0.000 six.py:191(load_module)
        6    0.000    0.000    0.000    0.000 {filter}
       27    0.000    0.000    0.000    0.000 posixpath.py:52(isabs)
        1    0.000    0.000    0.000    0.000 geo.py:414(MollweideAxes)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
       23    0.000    0.000    0.000    0.000 __init__.py:331(ge)
       99    0.000    0.000    0.000    0.000 cycler.py:114(<genexpr>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1397(__invert__)
        1    0.000    0.000    0.000    0.000 pyplot.py:120(install_repl_displayhook)
        1    0.000    0.000    0.000    0.000 patches.py:1118(FancyArrow)
        1    0.000    0.000    0.000    0.000 backend_agg.py:65(RendererAgg)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:19(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:395(Quiver)
        1    0.000    0.000    0.000    0.000 patches.py:1453(Arc)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       42    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
       34    0.000    0.000    0.000    0.000 {sys._getframe}
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       87    0.000    0.000    0.000    0.000 pyparsing.py:1481(streamline)
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
       13    0.000    0.000    0.000    0.000 cycler.py:13(_process_keys)
        1    0.000    0.000    0.000    0.000 formlayout.py:72(ColorButton)
        6    0.000    0.000    0.000    0.000 core.py:1099(__init__)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 parser.py:338(parser)
        1    0.000    0.000    0.000    0.000 numeric.py:2279(identity)
        1    0.000    0.000    0.000    0.000 geo.py:514(LambertAxes)
        1    0.000    0.000    0.000    0.000 __init__.py:372(__getattr__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
      496    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 patches.py:763(RegularPolygon)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        9    0.000    0.000    0.000    0.000 cbook.py:53(_generate_deprecation_message)
        1    0.000    0.000    0.000    0.000 numerictypes.py:428(_construct_char_code_lookup)
        5    0.000    0.000    0.000    0.000 machar.py:100(<lambda>)
        3    0.000    0.000    0.000    0.000 sre_parse.py:822(expand_template)
       40    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        3    0.000    0.000    0.000    0.000 rcsetup.py:482(validate_negative_linestyle_legacy)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2697(__init__)
        2    0.000    0.000    0.000    0.000 rcsetup.py:109(validate_path_exists)
        1    0.000    0.000    0.000    0.000 patches.py:1220(YAArrow)
        2    0.000    0.000    0.000    0.000 threading.py:114(RLock)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:368(__iter__)
        1    0.000    0.000    0.000    0.000 os.py:136(makedirs)
        1    0.000    0.000    0.000    0.000 patches.py:550(Shadow)
       22    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        2    0.000    0.000    0.000    0.000 font_manager.py:983(__init__)
        3    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 parser.py:1013(_result)
        1    0.000    0.000    0.000    0.000 pickle.py:833(Unpickler)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:911(BrokenBarHCollection)
        1    0.000    0.000    0.000    0.000 {math.exp}
       23    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        6    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 numeric.py:2972(__exit__)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 image.py:63(_AxesImageBase)
       29    0.000    0.000    0.000    0.000 pyparsing.py:1475(__str__)
        1    0.000    0.000    0.000    0.000 core.py:196(reload_library)
        2    0.000    0.000    0.000    0.000 font_manager.py:987(make_rcparams_key)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2146(__init__)
       55    0.000    0.000    0.000    0.000 docstring.py:84(__init__)
       49    0.000    0.000    0.000    0.000 {method 'endswith' of 'unicode' objects}
       18    0.000    0.000    0.000    0.000 pyparsing.py:2181(parseImpl)
       30    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:294(loads)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {posix.fdopen}
        1    0.000    0.000    0.000    0.000 mathtext.py:1006(StandardPsFonts)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2828(__str__)
        1    0.000    0.000    0.000    0.000 polynomial.py:1517(Polynomial)
        1    0.000    0.000    0.000    0.000 artist.py:77(Artist)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 transforms.py:248(BboxBase)
        1    0.000    0.000    0.000    0.000 sre_parse.py:734(parse_template)
        1    0.000    0.000    0.000    0.000 quiver.py:867(Barbs)
        1    0.000    0.000    0.000    0.000 collections.py:1464(CircleCollection)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1431(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 patches.py:875(Polygon)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
        1    0.000    0.000    0.000    0.000 patches.py:1795(_simpleprint_styles)
       35    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.000    0.000 transforms.py:775(Bbox)
        4    0.000    0.000    0.000    0.000 legend_handler.py:165(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:379(__getitem__)
       76    0.000    0.000    0.000    0.000 pyparsing.py:2353(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        1    0.000    0.000    0.000    0.000 mathtext.py:663(BakomaFonts)
       67    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 patches.py:1352(Ellipse)
        1    0.000    0.000    0.000    0.000 rrule.py:1071(rruleset)
       80    0.000    0.000    0.000    0.000 docstring.py:100(copy)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3278(<genexpr>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:228(validate_backend)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 transforms.py:1640(__init__)
        2    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
        1    0.000    0.000    0.000    0.000 decoder.py:359(decode)
        1    0.000    0.000    0.000    0.000 twodim_base.py:192(eye)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 patches.py:847(PathPatch)
        9    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 pdb.py:59(Pdb)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        1    0.000    0.000    0.000    0.000 Image.py:478(Image)
        1    0.000    0.000    0.000    0.000 patches.py:1413(Circle)
        1    0.000    0.000    0.000    0.000 numeric.py:148(ones)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        4    0.000    0.000    0.000    0.000 tempfile.py:221(_get_candidate_names)
        4    0.000    0.000    0.000    0.000 numeric.py:2676(geterr)
        4    0.000    0.000    0.000    0.000 pyparsing.py:327(__setitem__)
